Index	Samples	N_CNVs	Avg_wCNV	Avg_woCNV	Beta	CI	Pvalue	se
1	Cases	14	16	15.2	1.1	(-0.2-2.4)	0.12	0.68011806425833
2	Cases	4	15.5	15.2	0.59	(-2.24-3.42)	0.68	1.44175999977124
3	Cases	2	16.6	15.2	1.7	(-2.3-5.7)	0.41	2.03855685534581
5	Cases	3	14.8	15.2	-0.11	(-2.418-2.198)	0.93	1.17744438321059
6	Cases	1	13	15.2	-1.9	(-5.9-2.1)	0.35	2.03851331195363
7	Cases	1	15.1	15.2	0.14	(-3.86-4.14)	0.94	2.0387172772253
14	Cases	15	14.9	15.2	-0.31	(-1.821-1.201)	0.69	0.771097185809068
19	Cases	13	14.5	15.2	-0.65	(-1.983-0.683)	0.34	0.680160841371632
23	Cases	1	16.6	15.2	1.7	(-2.3-5.7)	0.39	2.03930376794351
25	Cases	1	18.2	15.2	3.3	(-0.7-7.3)	0.11	2.03824521524909
29	Cases	48	15	15.2	-0.0049	(-0.75065-0.74085)	0.99	0.380485047054208
30	Cases	22	15.9	15.2	0.86	(-0.29-2.01)	0.14	0.58922978839434
32	Cases	2	14.3	15.2	-0.57	(-3.396-2.256)	0.69	1.44178073585102
33	Cases	23	15.8	15.2	0.55	(-0.37-1.47)	0.24	0.468671545107362
35	Cases	9	15.7	15.2	0.75	(-1.56-3.06)	0.53	1.17732347494055
40	Cases	1	17.5	15.2	2.6	(-1.4-6.6)	0.21	2.03835601296514
43	Cases	6	14.7	15.2	-0.23	(-2.018-1.558)	0.8	0.912229251597435
44	Cases	7	15.3	15.2	0.4	(-1.6-2.4)	0.7	1.01975476159013
45	Cases	2	15.5	15.2	0.55	(-2.28-3.38)	0.7	1.44176092068034
49	Cases	3	16.4	15.2	1.5	(-1.3-4.3)	0.31	1.44161040497317
50	Cases	2	9.51	15.2	-5.4	(-9.39--1.41)	0.008	2.03706354353977
58	Cases	10	15.7	15.2	0.78	(-0.63-2.19)	0.28	0.721380834998366
61	Cases	6	14.3	15.2	-0.65	(-2.649-1.349)	0.52	1.01974621437296
64	Cases	47	15	15.2	-0.0049	(-0.75065-0.74085)	0.99	0.380485047054208
65	Cases	1	17	15.2	2.1	(-1.9-6.1)	0.31	2.0384785205115
10	Cases	7	15.2	15.2	0.0059	(-1.5054-1.5172)	0.99	0.77108084672113
18	Cases	2	17.3	15.2	2.4	(-1.6-6.4)	0.24	2.03839791814443
20	Cases	46	15	15.2	0.014	(-0.695-0.723)	0.97	0.361848935867122
26	Cases	64	15.3	15.2	0.19	(-0.55-0.93)	0.61	0.379790254216061
31	Cases	3	17.1	15.2	1.3	(-1.5-4.1)	0.36	1.44203720513849
34	Cases	35	15.5	15.2	0.32	(-0.48-1.12)	0.44	0.408929650896905
36	Cases	21	15.2	15.2	0.056	(-0.888-1)	0.91	0.481476658762126
41	Cases	6	15	15.2	-0.46	(-2.768-1.848)	0.7	1.17740512401201
42	Cases	6	15.4	15.2	0.53	(-1.26-2.32)	0.56	0.912198615273494
51	Cases	8	15.8	15.2	0.86	(-1.14-2.86)	0.4	1.02064754481346
52	Cases	28	15.8	15.2	0.48	(-0.52-1.48)	0.35	0.510585498043421
57	Cases	3	NaN	15.2	NA	NA	NA	NA
62	Cases	52	15.2	15.2	-0.19	(-0.899-0.519)	0.6	0.36179400132569
63	Cases	2	17.3	15.2	2.4	(-1.6-6.4)	0.24	2.03839791814443
67	Cases	1	14.9	15.2	-0.033	(-4.0289-3.9629)	0.99	2.03872204793023
