Index	Samples	N_CNVs	Avg_wCNV	Avg_woCNV	Beta	CI	Pvalue	se
1	Controls	10	21.7	20.9	0.41	(-1.16-1.98)	0.6	0.798960350804149
2	Controls	5	23.6	20.9	2.6	(0.4-4.8)	0.019	1.12777099014585
3	Controls	3	20.6	20.9	-0.15	(-2.858-2.558)	0.91	1.38187407945365
5	Controls	1	25	20.9	3.9	(0.1-7.7)	0.049	1.95337208672753
6	Controls	2	20.4	20.9	-0.5	(-3.21-2.21)	0.72	1.38173924680878
12	Controls	1	20.9	20.9	0.18	(-3.65-4.01)	0.93	1.95391100195859
14	Controls	13	20.4	20.9	-0.69	(-1.969-0.589)	0.29	0.652562121448796
19	Controls	9	20.2	20.9	-0.91	(-2.266-0.446)	0.19	0.691776777397355
25	Controls	2	22.2	20.9	1.1	(-1.6-3.8)	0.43	1.38231721638801
28	Controls	3	19.3	20.9	-1.7	(-3.91-0.51)	0.12	1.12817886067916
29	Controls	38	20.8	20.9	-0.11	(-0.824-0.604)	0.77	0.364049068358404
30	Controls	22	21.1	20.9	0.12	(-0.78-1.02)	0.79	0.461522393376867
32	Controls	3	22.7	20.9	1.8	(-0.4-4)	0.1	1.12796469363723
33	Controls	15	20.8	20.9	-0.039	(-1.0295-0.9515)	0.94	0.505346148950349
35	Controls	3	22	20.9	1.3	(-2.5-5.1)	0.52	1.95381710296883
38	Controls	1	21.3	20.9	0.56	(-3.27-4.39)	0.78	1.95389413671656
40	Controls	2	23.2	20.9	2.3	(-0.4-5)	0.1	1.38130031043846
43	Controls	4	22.1	20.9	1.3	(-0.6-3.2)	0.19	0.977067140826754
44	Controls	3	20.5	20.9	-0.59	(-4.42-3.24)	0.76	1.95427973405976
46	Controls	2	20.9	20.9	-0.058	(-2.7663-2.6503)	0.97	1.38176390821858
58	Controls	6	20	20.9	-1	(-3-1)	0.29	0.977524023972065
61	Controls	2	20.6	20.9	-0.33	(-3.038-2.378)	0.81	1.38175006180218
64	Controls	37	20.8	20.9	-0.086	(-0.8121-0.6401)	0.82	0.370447513156871
66	Controls	2	21.5	20.9	0.6	(-2.1-3.3)	0.66	1.38172968842909
4	Controls	2	21	20.9	0.068	(-2.64-2.776)	0.96	1.38176492065836
10	Controls	2	NaN	20.9	NA	NA	NA	NA
15	Controls	1	20	20.9	-0.82	(-4.65-3.01)	0.68	1.95387275651945
18	Controls	1	21.8	20.9	1	(-2.83-4.83)	0.6	1.95384901511402
20	Controls	19	20.7	20.9	-0.44	(-1.371-0.491)	0.35	0.475229305870522
26	Controls	43	20.4	20.9	-0.54	(-1.148-0.068)	0.083	0.310290099216834
31	Controls	2	22.4	20.9	1.6	(-1.1-4.3)	0.24	1.38166562165955
34	Controls	15	21.2	20.9	0.48	(-0.58-1.54)	0.38	0.542794161364795
36	Controls	13	22.2	20.9	1.3	(0-2.6)	0.042	0.651580319059064
41	Controls	1	18.6	20.9	-2.5	(-6.33-1.33)	0.2	1.95391239106022
42	Controls	2	NaN	20.9	NA	NA	NA	NA
51	Controls	4	20.3	20.9	-0.54	(-2.751-1.671)	0.63	1.12826936243324
52	Controls	20	20.5	20.9	-0.43	(-1.389-0.529)	0.38	0.489438355675579
56	Controls	1	21	20.9	0.23	(-3.6-4.06)	0.9	1.95390966151654
57	Controls	3	19.7	20.9	-0.85	(-3.559-1.859)	0.54	1.38208791873549
62	Controls	53	21	20.9	0.13	(-0.45-0.71)	0.66	0.296168999018831
63	Controls	1	21.8	20.9	1	(-2.83-4.83)	0.6	1.95384901511402
67	Controls	1	20	20.9	-0.79	(-4.62-3.04)	0.69	1.95387504556614
