ensgid	alias	pHaplo	pTriplo	pHaplo_decile	pTriplo_decile
ENSG00000000419	DPM1	0.802524113357663	0.577758262510392	7	6
ENSG00000000457	SCYL3	0.660551141164448	0.585630791123222	7	7
ENSG00000000460	C1orf112	0.231485668625753	0.206669280506198	3	2
ENSG00000000938	FGR	0.699161977447815	0.478321608465088	7	6
ENSG00000000971	CFH	0.682557729765748	0.373522497481757	7	5
ENSG00000001036	FUCA2	0.51020730315231	0.205184545362056	5	2
ENSG00000001084	GCLC	0.637656284697635	0.6042844865107	6	7
ENSG00000001167	NFYA	0.862290504923562	0.982679252748504	8	9
ENSG00000001460	STPG1	0.477451827053511	0.320904007494304	5	4
ENSG00000001461	NIPAL3	0.554951660668711	0.390492545259896	6	5
ENSG00000001561	ENPP4	0.289232085497889	0.407900460414018	3	5
ENSG00000001617	SEMA3F	0.918313303080338	0.898270913645721	8	8
ENSG00000001626	CFTR	0.11518933934947	0.337136854543564	1	4
ENSG00000001629	ANKIB1	0.93476684869274	0.872869461286525	9	8
ENSG00000001630	CYP51A1	0.328347800332388	0.215980641988866	4	2
ENSG00000001631	KRIT1	0.60514741874346	0.540670699243629	6	6
ENSG00000002016	RAD52	0.941108878236485	0.112596745177033	9	1
ENSG00000002330	BAD	0.0922186473414991	0.6735392840382	0	7
ENSG00000002549	LAP3	0.842719394596825	0.39655436258319	8	5
ENSG00000002587	HS3ST1	0.336508326446831	0.158172397120965	4	1
ENSG00000002726	AOC1	0.165928424964789	0.548454407519342	2	6
ENSG00000002745	WNT16	0.282473505213657	0.252234683456439	3	3
ENSG00000002746	HECW1	0.98172000518195	0.95801867763478	9	9
ENSG00000002822	MAD1L1	0.459220468991199	0.985590006719791	5	9
ENSG00000002834	LASP1	0.702707630643154	0.695091955963719	7	7
ENSG00000002919	SNX11	0.206528634535781	0.340990488294345	2	4
ENSG00000002933	TMEM176A	0.809430631230268	0.370051206637223	8	5
ENSG00000003056	M6PR	0.783654939480512	0.416624599784239	7	5
ENSG00000003137	CYP26B1	0.922113452353377	0.968332037363956	8	9
ENSG00000003147	ICA1	0.901907148321019	0.122302420539578	8	1
ENSG00000003249	DBNDD1	0.180925615567445	0.0605564271837376	2	0
ENSG00000003393	ALS2	0.795578348952994	0.522670178323027	7	6
ENSG00000003400	CASP10	0.23416763196149	0.440963582199864	3	5
ENSG00000003402	CFLAR	0.855127786394531	0.630776338394732	8	7
ENSG00000003436	TFPI	0.570522656211277	0.334750682199309	6	4
ENSG00000003509	NDUFAF7	0.350687296397542	0.194191925645943	4	2
ENSG00000003756	RBM5	0.795749381131047	0.983389773974303	7	9
ENSG00000003987	MTMR7	0.579261770766291	0.20781179379417	6	2
ENSG00000003989	SLC7A2	0.666084423723375	0.0745371627446194	7	0
ENSG00000004059	ARF5	0.628763480127952	0.983739507035171	6	9
ENSG00000004139	SARM1	0.171070243025114	0.806014944272008	2	8
ENSG00000004142	POLDIP2	0.279404370547831	0.952956150182932	3	9
ENSG00000004399	PLXND1	0.949033667184657	0.746930812446381	9	8
ENSG00000004455	AK2	0.385594919710292	0.460391023059098	4	5
ENSG00000004468	CD38	0.333471169330637	0.156704646226417	4	1
ENSG00000004478	FKBP4	0.901865417109275	0.357292183473671	8	4
ENSG00000004487	KDM1A	0.98200151896046	0.999597907475447	9	9
ENSG00000004534	RBM6	0.831069736545384	0.804593059621667	8	8
ENSG00000004660	CAMKK1	0.33682093720996	0.531638283777057	4	6
ENSG00000004700	RECQL	0.632923383490199	0.473573731794633	6	6
ENSG00000004776	HSPB6	0.360568506556473	0.356494593387007	4	4
ENSG00000004777	ARHGAP33	0.208122585003178	0.529172912695929	2	6
ENSG00000004779	NDUFAB1	0.415311587923954	0.698417730405985	5	7
ENSG00000004799	PDK4	0.540566056895565	0.19355215433204	6	2
ENSG00000004809	SLC22A16	0.112750611472276	0.114618988907103	1	1
ENSG00000004838	ZMYND10	0.327495609091087	0.477188306365606	4	6
ENSG00000004846	ABCB5	0.0586715182919996	0.122295980168175	0	1
ENSG00000004864	SLC25A13	0.43654986989146	0.513246137951392	5	6
ENSG00000004866	ST7	0.97270949971275	0.593011800743834	9	7
ENSG00000004897	CDC27	0.847784672369952	0.983636293310112	8	9
ENSG00000004939	SLC4A1	0.735383242195316	0.805601157777453	7	8
ENSG00000004948	CALCR	0.162326256320796	0.665391059005389	2	7
ENSG00000004975	DVL2	0.421502618571124	0.975959577399727	5	9
ENSG00000005001	PRSS22	0.538874220253542	0.561950282123368	6	6
ENSG00000005007	UPF1	0.917447256670064	0.999991605478293	8	9
ENSG00000005020	SKAP2	0.518945326156447	0.149133161827572	6	1
ENSG00000005073	HOXA11	0.98869865669639	0.687412878147294	9	7
ENSG00000005075	POLR2J	0.115563733169392	0.378733837942092	1	5
ENSG00000005100	DHX33	0.628523116931778	0.58233612368178	6	7
ENSG00000005102	MEOX1	0.364448284768262	0.4562256798819	4	5
ENSG00000005108	THSD7A	0.744747420553133	0.264669605279292	7	3
ENSG00000005156	LIG3	0.515177763477696	0.881655547923304	5	8
ENSG00000005175	RPAP3	0.158071769892989	0.423967302319374	1	5
ENSG00000005187	ACSM3	0.486593142903546	0.261126649566951	5	3
ENSG00000005194	CIAPIN1	0.173365982748852	0.670137518001114	2	7
ENSG00000005243	COPZ2	0.358732170381704	0.286171307033332	4	3
ENSG00000005249	PRKAR2B	0.84283366506655	0.962803225381676	8	9
ENSG00000005339	CREBBP	0.999309129893693	0.999999907999053	9	9
ENSG00000005381	MPO	0.349516287905699	0.323301422820772	4	4
ENSG00000005421	PON1	0.252184034384174	0.31296614570605	3	4
ENSG00000005436	GCFC2	0.392367741944985	0.137585714132206	4	1
ENSG00000005448	WDR54	0.107031275612721	0.195341987123703	1	2
ENSG00000005469	CROT	0.272834338498944	0.282753110966006	3	3
ENSG00000005471	ABCB4	0.707651681606884	0.823100132957111	7	8
ENSG00000005483	KMT2E	0.999191985432701	0.993516188384866	9	9
ENSG00000005486	RHBDD2	0.151044937297389	0.427973033572783	1	5
ENSG00000005513	SOX8	0.57889265790396	0.427979028006111	6	5
ENSG00000005700	IBTK	0.809563202309055	0.57857102104541	8	6
ENSG00000005801	ZNF195	0.363533780875111	0.12127374010335	4	1
ENSG00000005810	MYCBP2	0.996017996332989	0.956511933967077	9	9
ENSG00000005812	FBXL3	0.973600879814696	0.886552720712439	9	8
ENSG00000005844	ITGAL	0.231590164596212	0.238555395323509	3	3
ENSG00000005882	PDK2	0.172793675952854	0.67690677377672	2	7
ENSG00000005884	ITGA3	0.654028779549069	0.775965783312372	6	8
ENSG00000005961	ITGA2B	0.23728750648903	0.250952514309136	3	3
ENSG00000005981	ASB4	0.319538946462517	0.605450336511117	4	7
ENSG00000006007	GDE1	0.396584398718978	0.250871832403138	4	3
ENSG00000006016	CRLF1	0.538103655781741	0.797556079401278	6	8
ENSG00000006025	OSBPL7	0.206295571326313	0.390070793820987	2	5
ENSG00000006042	TMEM98	0.333614540791456	0.455710551809262	4	5
ENSG00000006047	YBX2	0.895871641722771	0.834674072350396	8	8
ENSG00000006059	KRT33A	0.0351996870239454	0.197194405597285	0	2
ENSG00000006071	ABCC8	0.590897146185413	0.467922383735798	6	6
ENSG00000006116	CACNG3	0.687149335309816	0.865013310939854	7	8
ENSG00000006118	TMEM132A	0.164845793241193	0.392530881621415	2	5
ENSG00000006125	AP2B1	0.933397911040963	0.999485401297874	9	9
ENSG00000006128	TAC1	0.373074683192938	0.106860274391733	4	0
ENSG00000006194	ZNF263	0.203375203769562	0.0478369765126841	2	0
ENSG00000006210	CX3CL1	0.51236793024027	0.440641067573031	5	5
ENSG00000006282	SPATA20	0.218177396030994	0.261511874907076	2	3
ENSG00000006283	CACNA1G	0.994421189992191	0.990269918153902	9	9
ENSG00000006327	TNFRSF12A	0.319063789622144	0.0739592669349188	4	0
ENSG00000006377	DLX6	0.98397319446792	0.921144094237986	9	9
ENSG00000006432	MAP3K9	0.805036948255989	0.471720156230053	8	6
ENSG00000006451	RALA	0.874632260624453	0.850846321737655	8	8
ENSG00000006453	BAIAP2L1	0.513263547928491	0.993497370358717	5	9
ENSG00000006468	ETV1	0.966382248027946	0.287476863574991	9	3
ENSG00000006530	AGK	0.607055221978039	0.307634608232023	6	4
ENSG00000006534	ALDH3B1	0.179875886841335	0.5712838393661	2	6
ENSG00000006555	TTC22	0.381794733715306	0.0695458560444941	4	0
ENSG00000006576	PHTF2	0.359866302960167	0.279479669096163	4	3
ENSG00000006606	CCL26	0.0607055510154618	0.159989625637134	0	1
ENSG00000006607	FARP2	0.670040215354769	0.250447366653185	7	3
ENSG00000006611	USH1C	0.675109978586656	0.252175197140326	7	3
ENSG00000006625	GGCT	0.271656997256248	0.287757022142308	3	3
ENSG00000006638	TBXA2R	0.519030668267418	0.256506803761067	6	3
ENSG00000006652	IFRD1	0.594651509784064	0.195021629014418	6	2
ENSG00000006659	LGALS14	0.03460615782488	0.179181654379186	0	2
ENSG00000006695	COX10	0.585543848027588	0.28658717520667	6	3
ENSG00000006704	GTF2IRD1	0.949014242397296	0.936128357027441	9	9
ENSG00000006712	PAF1	0.378766919635189	0.970025440881496	4	9
ENSG00000006715	VPS41	0.38523019661864	0.372686782117182	4	5
ENSG00000006740	ARHGAP44	0.925010082253787	0.609976550429887	8	7
ENSG00000006744	ELAC2	0.496401038213027	0.170768408268259	5	1
ENSG00000006747	SCIN	0.251543669757888	0.0605379846805102	3	0
ENSG00000006788	MYH13	0.0725870856127201	0.303966054589848	0	4
ENSG00000006831	ADIPOR2	0.920826949310867	0.895749769875157	8	8
ENSG00000006837	CDKL3	0.337924103516726	0.427262471374497	4	5
ENSG00000007001	UPP2	0.567002521312863	0.538586996841626	6	6
ENSG00000007038	PRSS21	0.176269601965913	0.453932877503393	2	5
ENSG00000007047	MARK4	0.787335097796595	0.982305364752818	7	9
ENSG00000007062	PROM1	0.542021682468073	0.331999294257574	6	4
ENSG00000007080	CCDC124	0.102626434022062	0.367381161309146	1	5
ENSG00000007129	CEACAM21	0.0836029969924996	0.0504620914353293	0	0
ENSG00000007168	PAFAH1B1	0.985456482618145	0.997819812407218	9	9
ENSG00000007171	NOS2	0.303593179610912	0.549912278282942	3	6
ENSG00000007174	DNAH9	0.144694607194951	0.304930664437522	1	4
ENSG00000007216	SLC13A2	0.376261412920815	0.383254234954143	4	5
ENSG00000007237	GAS7	0.946801259080029	0.862330124035524	9	8
ENSG00000007255	TRAPPC6A	0.268891079020035	0.466804221798757	3	6
ENSG00000007264	MATK	0.400809404358888	0.980034907371753	5	9
ENSG00000007306	CEACAM7	0.097137279681106	0.135709392312688	0	1
